,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
439,Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Ragi,2.035,3.696
440,Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Rice,22.349,67.427
441,Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Urad,0.069,0.026
442,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Bajra,0.141,0.043
443,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Chillies,0.01,0.037
444,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Gram,83.533,30.739
445,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Groundnut,18.104,18.991
447,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Jowar,24.944,15.44
448,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Linseed,0.015,0.004
449,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Maize,3.12,23.64
451,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Onion,0.167,4.075
452,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Ragi,0.386,0.532
453,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Rice,10.846,31.974
454,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Safflower,0.072,0.028
455,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Urad,0.024,0.019
456,Andhra Pradesh,ANANTAPUR,2006,Rabi       ,Wheat,0.19,0.05
457,Andhra Pradesh,ANANTAPUR,2006,Whole Year ,Banana,0.289,14.141
459,Andhra Pradesh,ANANTAPUR,2006,Whole Year ,Sugarcane,0.339,30.937
460,Andhra Pradesh,ANANTAPUR,2006,Whole Year ,Sunflower,60.751,23.561
461,Andhra Pradesh,ANANTAPUR,2006,Whole Year ,Sweet potato,0.025,0.137
463,Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Bajra,1.0,3.0
464,Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Castor seed,2.0,1.0
465,Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Cotton,3.0,2.0
466,Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Chillies,2.0,9.0
467,Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Groundnut,876.0,1102.0
