,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
10660,Assam,BONGAIGAON,2008,Whole Year ,Banana,0.647,8.411
10661,Assam,BONGAIGAON,2008,Whole Year ,Black pepper,0.018,0.033
10662,Assam,BONGAIGAON,2008,Whole Year ,Chillies,0.592,0.377
10663,Assam,BONGAIGAON,2008,Whole Year ,Ginger,0.186,1.145
10664,Assam,BONGAIGAON,2008,Whole Year ,Onion,0.259,0.518
10665,Assam,BONGAIGAON,2008,Whole Year ,Potato,2.302,14.971
10666,Assam,BONGAIGAON,2008,Whole Year ,Sugarcane,0.174,6.679
10667,Assam,BONGAIGAON,2008,Whole Year ,Sweet potato,0.204,0.612
10670,Assam,BONGAIGAON,2008,Winter     ,Rice,36.346,41.2
10671,Assam,BONGAIGAON,2009,Autumn     ,Rice,20.782,14.732
10672,Assam,BONGAIGAON,2009,Kharif     ,Castor seed,0.007,0.003
10673,Assam,BONGAIGAON,2009,Kharif     ,Cotton,0.028,0.012
10674,Assam,BONGAIGAON,2009,Kharif     ,Jute,2.281,26.333
10675,Assam,BONGAIGAON,2009,Kharif     ,Maize,0.172,0.105
10676,Assam,BONGAIGAON,2009,Kharif     ,Mesta,0.399,2.583
10677,Assam,BONGAIGAON,2009,Kharif     ,Sesamum,0.267,0.126
10678,Assam,BONGAIGAON,2009,Rabi       ,Banana,0.638,7.94
10679,Assam,BONGAIGAON,2009,Rabi       ,Gram,0.027,0.014
10680,Assam,BONGAIGAON,2009,Rabi       ,Linseed,0.36,0.154
10682,Assam,BONGAIGAON,2009,Rabi       ,Peas & beans (Pulses),0.307,0.23
10683,Assam,BONGAIGAON,2009,Rabi       ,Urad,2.041,1.148
10684,Assam,BONGAIGAON,2009,Rabi       ,Wheat,5.758,6.581
10685,Assam,BONGAIGAON,2009,Summer     ,Rice,10.028,23.102
10686,Assam,BONGAIGAON,2009,Whole Year ,Banana,0.638,7.94
10687,Assam,BONGAIGAON,2009,Whole Year ,Black pepper,0.027,0.047
10688,Assam,BONGAIGAON,2009,Whole Year ,Chillies,0.598,0.38
10689,Assam,BONGAIGAON,2009,Whole Year ,Ginger,0.171,1.053
10690,Assam,BONGAIGAON,2009,Whole Year ,Onion,0.253,0.505
10691,Assam,BONGAIGAON,2009,Whole Year ,Potato,2.351,19.69
10692,Assam,BONGAIGAON,2009,Whole Year ,Sugarcane,0.191,7.47
10693,Assam,BONGAIGAON,2009,Whole Year ,Sweet potato,0.202,0.606
10696,Assam,BONGAIGAON,2009,Winter     ,Rice,34.421,39.073
10697,Assam,BONGAIGAON,2010,Autumn     ,Rice,16.142,12.826
10698,Assam,BONGAIGAON,2010,Kharif     ,Castor seed,0.006,0.002
10699,Assam,BONGAIGAON,2010,Kharif     ,Cotton,0.001,0.001
10700,Assam,BONGAIGAON,2010,Kharif     ,Jute,2.153,24.657
10701,Assam,BONGAIGAON,2010,Kharif     ,Maize,0.177,0.107
10702,Assam,BONGAIGAON,2010,Kharif     ,Mesta,0.387,2.499
10703,Assam,BONGAIGAON,2010,Kharif     ,Sesamum,0.256,0.119
10704,Assam,BONGAIGAON,2010,Rabi       ,Banana,0.66,8.299
10705,Assam,BONGAIGAON,2010,Rabi       ,Gram,0.028,0.014
10706,Assam,BONGAIGAON,2010,Rabi       ,Linseed,0.27,0.121
10708,Assam,BONGAIGAON,2010,Rabi       ,Peas & beans (Pulses),0.309,0.231
10709,Assam,BONGAIGAON,2010,Rabi       ,Urad,2.107,1.133
10710,Assam,BONGAIGAON,2010,Rabi       ,Wheat,5.555,6.946
10711,Assam,BONGAIGAON,2010,Summer     ,Rice,10.68,35.104
10712,Assam,BONGAIGAON,2010,Whole Year ,Banana,0.66,8.299
10713,Assam,BONGAIGAON,2010,Whole Year ,Black pepper,0.027,0.05
10714,Assam,BONGAIGAON,2010,Whole Year ,Chillies,0.584,0.372
10715,Assam,BONGAIGAON,2010,Whole Year ,Ginger,0.175,1.077
10716,Assam,BONGAIGAON,2010,Whole Year ,Onion,0.265,0.53
10717,Assam,BONGAIGAON,2010,Whole Year ,Potato,2.414,23.453
10718,Assam,BONGAIGAON,2010,Whole Year ,Sugarcane,0.192,6.949
10719,Assam,BONGAIGAON,2010,Whole Year ,Sweet potato,0.189,0.567
10722,Assam,BONGAIGAON,2010,Winter     ,Rice,34.806,52.651
10723,Assam,BONGAIGAON,2011,Autumn     ,Rice,15.953,17.728
10724,Assam,BONGAIGAON,2011,Kharif     ,Castor seed,0.007,0.004
10725,Assam,BONGAIGAON,2011,Kharif     ,Jute,2.371,24.965
10726,Assam,BONGAIGAON,2011,Kharif     ,Maize,0.188,0.132
10727,Assam,BONGAIGAON,2011,Kharif     ,Mesta,0.427,3.262
10728,Assam,BONGAIGAON,2011,Kharif     ,Orange,0.284,2.519
10729,Assam,BONGAIGAON,2011,Kharif     ,Papaya,0.165,4.18
10730,Assam,BONGAIGAON,2011,Kharif     ,Sesamum,0.248,0.149
10732,Assam,BONGAIGAON,2011,Rabi       ,Black pepper,0.03,0.055
10733,Assam,BONGAIGAON,2011,Rabi       ,Chillies,0.552,0.366
10734,Assam,BONGAIGAON,2011,Rabi       ,Ginger,0.17,1.067
10735,Assam,BONGAIGAON,2011,Rabi       ,Gram,0.023,0.015
10736,Assam,BONGAIGAON,2011,Rabi       ,Linseed,0.28,0.128
10738,Assam,BONGAIGAON,2011,Rabi       ,Peas & beans (Pulses),0.289,0.224
10739,Assam,BONGAIGAON,2011,Rabi       ,Pineapple,0.249,4.643
10740,Assam,BONGAIGAON,2011,Rabi       ,Sweet potato,0.176,0.535
10741,Assam,BONGAIGAON,2011,Rabi       ,Urad,2.115,1.628
10742,Assam,BONGAIGAON,2011,Rabi       ,Wheat,5.125,6.68
10743,Assam,BONGAIGAON,2011,Summer     ,Rice,10.507,31.151
10744,Assam,BONGAIGAON,2011,Whole Year ,Banana,0.67,9.016
10745,Assam,BONGAIGAON,2011,Whole Year ,Onion,0.26,0.563
10746,Assam,BONGAIGAON,2011,Whole Year ,Potato,2.705,22.665
10747,Assam,BONGAIGAON,2011,Whole Year ,Sugarcane,0.183,6.781
10749,Assam,BONGAIGAON,2011,Winter     ,Rice,36.205,48.899
10750,Assam,BONGAIGAON,2012,Autumn     ,Rice,12.922,16.9
10751,Assam,BONGAIGAON,2012,Kharif     ,Castor seed,0.006,0.003
10752,Assam,BONGAIGAON,2012,Kharif     ,Jute,2.278,24.694
10753,Assam,BONGAIGAON,2012,Kharif     ,Maize,0.206,0.16
10754,Assam,BONGAIGAON,2012,Kharif     ,Mesta,0.366,2.422
10755,Assam,BONGAIGAON,2012,Kharif     ,Orange,0.329,3.248
10756,Assam,BONGAIGAON,2012,Kharif     ,Papaya,0.177,4.507
10757,Assam,BONGAIGAON,2012,Kharif     ,Sesamum,0.229,0.126
10759,Assam,BONGAIGAON,2012,Rabi       ,Black pepper,0.027,0.05
10760,Assam,BONGAIGAON,2012,Rabi       ,Chillies,0.532,0.36
10761,Assam,BONGAIGAON,2012,Rabi       ,Ginger,0.178,1.155
10762,Assam,BONGAIGAON,2012,Rabi       ,Gram,0.02,0.013
10763,Assam,BONGAIGAON,2012,Rabi       ,Linseed,0.243,0.117
10765,Assam,BONGAIGAON,2012,Rabi       ,Peas & beans (Pulses),0.277,0.216
10766,Assam,BONGAIGAON,2012,Rabi       ,Pineapple,0.264,4.948
10767,Assam,BONGAIGAON,2012,Rabi       ,Sweet potato,0.174,0.564
10768,Assam,BONGAIGAON,2012,Rabi       ,Urad,2.275,0.933
10769,Assam,BONGAIGAON,2012,Rabi       ,Wheat,4.675,5.572
10770,Assam,BONGAIGAON,2012,Summer     ,Rice,10.74,31.907
10771,Assam,BONGAIGAON,2012,Whole Year ,Banana,0.695,10.05
10772,Assam,BONGAIGAON,2012,Whole Year ,Onion,0.257,0.61
10773,Assam,BONGAIGAON,2012,Whole Year ,Potato,2.821,20.78
10774,Assam,BONGAIGAON,2012,Whole Year ,Sugarcane,0.208,7.407
10776,Assam,BONGAIGAON,2012,Winter     ,Rice,35.931,57.117
10777,Assam,BONGAIGAON,2013,Autumn     ,Rice,11.021,17.595
10778,Assam,BONGAIGAON,2013,Kharif     ,Castor seed,0.005,0.003
10779,Assam,BONGAIGAON,2013,Kharif     ,Cotton,0.003,0.001
10780,Assam,BONGAIGAON,2013,Kharif     ,Jute,2.203,29.726
10781,Assam,BONGAIGAON,2013,Kharif     ,Maize,0.421,1.839
10782,Assam,BONGAIGAON,2013,Kharif     ,Mesta,0.363,2.402
10783,Assam,BONGAIGAON,2013,Kharif     ,Orange,0.355,3.504
10784,Assam,BONGAIGAON,2013,Kharif     ,Papaya,0.173,4.405
10785,Assam,BONGAIGAON,2013,Kharif     ,Sesamum,0.264,0.166
10787,Assam,BONGAIGAON,2013,Rabi       ,Black pepper,0.029,0.054
10788,Assam,BONGAIGAON,2013,Rabi       ,Chillies,0.566,0.381
10789,Assam,BONGAIGAON,2013,Rabi       ,Ginger,0.22,1.428
10790,Assam,BONGAIGAON,2013,Rabi       ,Gram,0.265,0.202
10791,Assam,BONGAIGAON,2013,Rabi       ,Linseed,0.252,0.131
10793,Assam,BONGAIGAON,2013,Rabi       ,Peas & beans (Pulses),0.409,0.35
10794,Assam,BONGAIGAON,2013,Rabi       ,Pineapple,0.265,4.967
10795,Assam,BONGAIGAON,2013,Rabi       ,Sweet potato,0.187,0.605
10796,Assam,BONGAIGAON,2013,Rabi       ,Urad,2.127,1.025
10797,Assam,BONGAIGAON,2013,Rabi       ,Wheat,4.36,5.509
10798,Assam,BONGAIGAON,2013,Summer     ,Rice,13.07,38.727
10799,Assam,BONGAIGAON,2013,Whole Year ,Banana,0.708,10.238
10800,Assam,BONGAIGAON,2013,Whole Year ,Onion,0.288,0.684
10801,Assam,BONGAIGAON,2013,Whole Year ,Potato,2.609,18.83
10802,Assam,BONGAIGAON,2013,Whole Year ,Sugarcane,0.191,7.061
10804,Assam,BONGAIGAON,2013,Winter     ,Rice,32.69,66.164
10805,Assam,BONGAIGAON,2014,Autumn     ,Rice,5.865,7.909
10806,Assam,BONGAIGAON,2014,Kharif     ,Castor seed,0.007,0.004
10807,Assam,BONGAIGAON,2014,Kharif     ,Cotton,0.002,0.001
10808,Assam,BONGAIGAON,2014,Kharif     ,Jute,2.478,30.228
10809,Assam,BONGAIGAON,2014,Kharif     ,Maize,0.894,2.598
10810,Assam,BONGAIGAON,2014,Kharif     ,Mesta,0.359,2.393
10811,Assam,BONGAIGAON,2014,Kharif     ,Orange,0.285,2.815
10812,Assam,BONGAIGAON,2014,Kharif     ,Papaya,0.207,5.27
10813,Assam,BONGAIGAON,2014,Kharif     ,Sesamum,0.26,0.153
10815,Assam,BONGAIGAON,2014,Rabi       ,Black pepper,0.026,0.049
10816,Assam,BONGAIGAON,2014,Rabi       ,Chillies,0.557,0.379
10817,Assam,BONGAIGAON,2014,Rabi       ,Ginger,0.215,1.397
10818,Assam,BONGAIGAON,2014,Rabi       ,Gram,0.242,0.232
10819,Assam,BONGAIGAON,2014,Rabi       ,Linseed,0.221,0.118
10821,Assam,BONGAIGAON,2014,Rabi       ,Peas & beans (Pulses),0.42,0.45
10822,Assam,BONGAIGAON,2014,Rabi       ,Pineapple,0.257,4.817
10823,Assam,BONGAIGAON,2014,Rabi       ,Sweet potato,0.161,0.524
10824,Assam,BONGAIGAON,2014,Rabi       ,Urad,2.09,1.252
10825,Assam,BONGAIGAON,2014,Rabi       ,Wheat,0.981,1.221
10826,Assam,BONGAIGAON,2014,Summer     ,Rice,11.685,38.969
10827,Assam,BONGAIGAON,2014,Whole Year ,Banana,0.78,11.279
10828,Assam,BONGAIGAON,2014,Whole Year ,Onion,0.292,0.697
10829,Assam,BONGAIGAON,2014,Whole Year ,Potato,2.602,21.32
10830,Assam,BONGAIGAON,2014,Whole Year ,Sugarcane,0.194,7.132
10832,Assam,BONGAIGAON,2014,Winter     ,Rice,35.299,69.061
11021,Assam,CACHAR,2006,Autumn     ,Rice,4.07,6.344
11022,Assam,CACHAR,2006,Kharif     ,Cotton,0.1,0.038
11023,Assam,CACHAR,2006,Kharif     ,Jute,0.049,0.474
11024,Assam,CACHAR,2006,Kharif     ,Maize,0.105,0.052
11025,Assam,CACHAR,2006,Kharif     ,Mesta,0.002,0.009
11026,Assam,CACHAR,2006,Kharif     ,Sesamum,0.2,0.092
11027,Assam,CACHAR,2006,Rabi       ,Gram,0.06,0.031
11028,Assam,CACHAR,2006,Rabi       ,Linseed,0.046,0.02
11030,Assam,CACHAR,2006,Rabi       ,Peas & beans (Pulses),0.585,0.336
11031,Assam,CACHAR,2006,Rabi       ,Urad,0.98,0.504
11032,Assam,CACHAR,2006,Rabi       ,Wheat,0.093,0.105
11033,Assam,CACHAR,2006,Summer     ,Rice,7.819,8.1
11034,Assam,CACHAR,2006,Whole Year ,Banana,2.662,32.313
11035,Assam,CACHAR,2006,Whole Year ,Chillies,0.998,0.628
11036,Assam,CACHAR,2006,Whole Year ,Onion,0.174,0.566
11037,Assam,CACHAR,2006,Whole Year ,Potato,1.912,8.359
11038,Assam,CACHAR,2006,Whole Year ,Sugarcane,0.276,11.884
11039,Assam,CACHAR,2006,Whole Year ,Sweet potato,0.195,1.024
11042,Assam,CACHAR,2006,Winter     ,Rice,89.689,151.116
11043,Assam,CACHAR,2007,Autumn     ,Rice,10.13,16.238
11044,Assam,CACHAR,2007,Kharif     ,Cotton,0.1,0.037
11045,Assam,CACHAR,2007,Kharif     ,Jute,0.052,0.571
11046,Assam,CACHAR,2007,Kharif     ,Maize,0.105,0.052
11047,Assam,CACHAR,2007,Kharif     ,Mesta,0.01,0.045
11048,Assam,CACHAR,2007,Kharif     ,Sesamum,0.196,0.094
11049,Assam,CACHAR,2007,Rabi       ,Gram,0.056,0.029
11050,Assam,CACHAR,2007,Rabi       ,Linseed,0.03,0.013
11052,Assam,CACHAR,2007,Rabi       ,Peas & beans (Pulses),0.446,0.259
11053,Assam,CACHAR,2007,Rabi       ,Urad,0.958,0.508
11054,Assam,CACHAR,2007,Rabi       ,Wheat,0.255,0.322
11055,Assam,CACHAR,2007,Summer     ,Rice,9.68,18.533
11056,Assam,CACHAR,2007,Whole Year ,Banana,3.128,37.971
11057,Assam,CACHAR,2007,Whole Year ,Black pepper,0.039,0.076
11058,Assam,CACHAR,2007,Whole Year ,Chillies,1.0,0.636
11059,Assam,CACHAR,2007,Whole Year ,Ginger,0.204,1.416
11060,Assam,CACHAR,2007,Whole Year ,Onion,0.15,0.487
11061,Assam,CACHAR,2007,Whole Year ,Potato,1.986,7.675
11062,Assam,CACHAR,2007,Whole Year ,Sugarcane,0.166,7.162
11063,Assam,CACHAR,2007,Whole Year ,Sweet potato,0.178,0.935
11066,Assam,CACHAR,2007,Winter     ,Rice,79.842,64.012
11067,Assam,CACHAR,2008,Autumn     ,Rice,8.35,13.808
11068,Assam,CACHAR,2008,Kharif     ,Cotton,0.095,0.035
11069,Assam,CACHAR,2008,Kharif     ,Jute,0.053,0.571
11070,Assam,CACHAR,2008,Kharif     ,Maize,0.104,0.05
11071,Assam,CACHAR,2008,Kharif     ,Mesta,0.005,0.023
11072,Assam,CACHAR,2008,Kharif     ,Sesamum,0.195,0.097
11073,Assam,CACHAR,2008,Rabi       ,Blackgram,0.897,0.521
11074,Assam,CACHAR,2008,Rabi       ,Gram,0.054,0.028
11075,Assam,CACHAR,2008,Rabi       ,Linseed,0.03,0.014
11077,Assam,CACHAR,2008,Rabi       ,Peas & beans (Pulses),0.38,0.224
11078,Assam,CACHAR,2008,Rabi       ,Urad,0.897,0.521
11079,Assam,CACHAR,2008,Rabi       ,Wheat,0.117,0.128
11080,Assam,CACHAR,2008,Summer     ,Rice,9.56,21.126
11081,Assam,CACHAR,2008,Whole Year ,Banana,2.881,38.893
11082,Assam,CACHAR,2008,Whole Year ,Black pepper,0.045,0.087
11083,Assam,CACHAR,2008,Whole Year ,Chillies,0.995,0.632
11084,Assam,CACHAR,2008,Whole Year ,Ginger,0.212,1.472
11085,Assam,CACHAR,2008,Whole Year ,Onion,0.087,0.283
11086,Assam,CACHAR,2008,Whole Year ,Potato,2.063,12.08
11087,Assam,CACHAR,2008,Whole Year ,Sugarcane,0.156,6.668
11088,Assam,CACHAR,2008,Whole Year ,Sweet potato,0.174,0.914
11091,Assam,CACHAR,2008,Winter     ,Rice,93.61,199.711
11092,Assam,CACHAR,2009,Autumn     ,Rice,8.276,16.457
11093,Assam,CACHAR,2009,Kharif     ,Cotton,0.094,0.034
11094,Assam,CACHAR,2009,Kharif     ,Jute,0.053,0.579
11095,Assam,CACHAR,2009,Kharif     ,Maize,0.1,0.05
11096,Assam,CACHAR,2009,Kharif     ,Mesta,0.007,0.031
11097,Assam,CACHAR,2009,Kharif     ,Sesamum,0.189,0.095
11098,Assam,CACHAR,2009,Rabi       ,Banana,2.97,37.401
11099,Assam,CACHAR,2009,Rabi       ,Gram,0.052,0.028
11100,Assam,CACHAR,2009,Rabi       ,Linseed,0.031,0.014
11102,Assam,CACHAR,2009,Rabi       ,Peas & beans (Pulses),0.428,0.25
11103,Assam,CACHAR,2009,Rabi       ,Urad,0.914,0.518
11104,Assam,CACHAR,2009,Rabi       ,Wheat,0.154,0.168
11105,Assam,CACHAR,2009,Summer     ,Rice,8.902,6.448
11106,Assam,CACHAR,2009,Whole Year ,Banana,2.97,37.401
11107,Assam,CACHAR,2009,Whole Year ,Black pepper,0.026,0.05
11108,Assam,CACHAR,2009,Whole Year ,Chillies,0.984,0.624
11109,Assam,CACHAR,2009,Whole Year ,Ginger,0.21,1.458
11110,Assam,CACHAR,2009,Whole Year ,Onion,0.129,0.42
11111,Assam,CACHAR,2009,Whole Year ,Potato,2.155,15.29
11112,Assam,CACHAR,2009,Whole Year ,Sugarcane,0.218,9.401
11113,Assam,CACHAR,2009,Whole Year ,Sweet potato,0.161,0.846
11116,Assam,CACHAR,2009,Winter     ,Rice,93.082,204.084
11117,Assam,CACHAR,2010,Autumn     ,Rice,8.359,16.087
11118,Assam,CACHAR,2010,Kharif     ,Cotton,0.092,0.034
11119,Assam,CACHAR,2010,Kharif     ,Jute,0.052,0.522
11120,Assam,CACHAR,2010,Kharif     ,Maize,0.098,0.049
11121,Assam,CACHAR,2010,Kharif     ,Mesta,0.004,0.018
11122,Assam,CACHAR,2010,Kharif     ,Sesamum,0.182,0.093
11123,Assam,CACHAR,2010,Rabi       ,Banana,2.888,36.756
11124,Assam,CACHAR,2010,Rabi       ,Gram,0.056,0.029
11125,Assam,CACHAR,2010,Rabi       ,Linseed,0.025,0.011
11127,Assam,CACHAR,2010,Rabi       ,Peas & beans (Pulses),0.36,0.211
11128,Assam,CACHAR,2010,Rabi       ,Urad,0.85,0.475
11129,Assam,CACHAR,2010,Rabi       ,Wheat,0.08,0.1
11130,Assam,CACHAR,2010,Summer     ,Rice,7.332,14.228
11131,Assam,CACHAR,2010,Whole Year ,Banana,2.888,36.756
11132,Assam,CACHAR,2010,Whole Year ,Black pepper,0.038,0.074
11133,Assam,CACHAR,2010,Whole Year ,Chillies,1.055,0.671
11134,Assam,CACHAR,2010,Whole Year ,Ginger,0.232,1.61
11135,Assam,CACHAR,2010,Whole Year ,Onion,0.077,0.25
11136,Assam,CACHAR,2010,Whole Year ,Potato,2.052,15.34
11137,Assam,CACHAR,2010,Whole Year ,Sugarcane,0.14,5.762
11138,Assam,CACHAR,2010,Whole Year ,Sweet potato,0.151,0.793
11141,Assam,CACHAR,2010,Winter     ,Rice,88.908,195.008
11142,Assam,CACHAR,2011,Autumn     ,Rice,7.7,13.116
11143,Assam,CACHAR,2011,Kharif     ,Cotton,0.091,0.034
11144,Assam,CACHAR,2011,Kharif     ,Jute,0.051,0.472
11145,Assam,CACHAR,2011,Kharif     ,Maize,0.091,0.051
11146,Assam,CACHAR,2011,Kharif     ,Mesta,0.004,0.037
11147,Assam,CACHAR,2011,Kharif     ,Orange,0.08,0.499
11148,Assam,CACHAR,2011,Kharif     ,Papaya,0.302,5.878
11149,Assam,CACHAR,2011,Kharif     ,Sesamum,0.189,0.104
11151,Assam,CACHAR,2011,Rabi       ,Black pepper,0.043,0.102
11152,Assam,CACHAR,2011,Rabi       ,Chillies,1.065,0.697
11153,Assam,CACHAR,2011,Rabi       ,Ginger,0.238,1.662
11154,Assam,CACHAR,2011,Rabi       ,Gram,0.059,0.032
11155,Assam,CACHAR,2011,Rabi       ,Linseed,0.025,0.014
11157,Assam,CACHAR,2011,Rabi       ,Peas & beans (Pulses),0.365,0.219
11158,Assam,CACHAR,2011,Rabi       ,Pineapple,1.186,21.187
11159,Assam,CACHAR,2011,Rabi       ,Sweet potato,0.16,1.549
11160,Assam,CACHAR,2011,Rabi       ,Urad,0.815,0.453
11161,Assam,CACHAR,2011,Rabi       ,Wheat,0.07,0.085
11162,Assam,CACHAR,2011,Summer     ,Rice,7.99,14.971
11163,Assam,CACHAR,2011,Whole Year ,Banana,2.832,49.983
11164,Assam,CACHAR,2011,Whole Year ,Onion,0.082,0.275
11165,Assam,CACHAR,2011,Whole Year ,Potato,2.063,8.381
11166,Assam,CACHAR,2011,Whole Year ,Sugarcane,0.115,4.261
11168,Assam,CACHAR,2011,Winter     ,Rice,90.682,177.981
11169,Assam,CACHAR,2012,Autumn     ,Rice,7.68,15.518
11170,Assam,CACHAR,2012,Kharif     ,Cotton,0.094,0.035
11171,Assam,CACHAR,2012,Kharif     ,Jute,0.052,0.445
11172,Assam,CACHAR,2012,Kharif     ,Maize,0.095,0.06
11173,Assam,CACHAR,2012,Kharif     ,Mesta,0.004,0.018
11174,Assam,CACHAR,2012,Kharif     ,Orange,0.081,0.537
11175,Assam,CACHAR,2012,Kharif     ,Papaya,0.291,5.717
11176,Assam,CACHAR,2012,Kharif     ,Sesamum,0.189,0.114
11178,Assam,CACHAR,2012,Rabi       ,Black pepper,0.044,0.088
11179,Assam,CACHAR,2012,Rabi       ,Chillies,1.078,0.717
11180,Assam,CACHAR,2012,Rabi       ,Ginger,0.239,1.672
11181,Assam,CACHAR,2012,Rabi       ,Gram,0.061,0.035
11182,Assam,CACHAR,2012,Rabi       ,Linseed,0.026,0.014
11184,Assam,CACHAR,2012,Rabi       ,Peas & beans (Pulses),0.378,0.232
11185,Assam,CACHAR,2012,Rabi       ,Pineapple,1.212,22.743
11186,Assam,CACHAR,2012,Rabi       ,Sweet potato,0.16,1.578
11187,Assam,CACHAR,2012,Rabi       ,Urad,0.835,0.46
11188,Assam,CACHAR,2012,Rabi       ,Wheat,0.065,0.084
11189,Assam,CACHAR,2012,Summer     ,Rice,7.547,14.736
11190,Assam,CACHAR,2012,Whole Year ,Banana,2.892,51.437
11191,Assam,CACHAR,2012,Whole Year ,Onion,0.082,0.298
11192,Assam,CACHAR,2012,Whole Year ,Potato,2.009,9.072
11193,Assam,CACHAR,2012,Whole Year ,Sugarcane,0.119,4.238
11195,Assam,CACHAR,2012,Winter     ,Rice,91.912,202.725
11196,Assam,CACHAR,2013,Autumn     ,Rice,6.43,10.288
11197,Assam,CACHAR,2013,Kharif     ,Cotton,0.094,0.034
11198,Assam,CACHAR,2013,Kharif     ,Jute,0.056,0.575
11199,Assam,CACHAR,2013,Kharif     ,Maize,0.099,0.297
11200,Assam,CACHAR,2013,Kharif     ,Mesta,0.003,0.014
11201,Assam,CACHAR,2013,Kharif     ,Orange,0.086,0.571
11202,Assam,CACHAR,2013,Kharif     ,Papaya,0.294,5.775
11203,Assam,CACHAR,2013,Kharif     ,Sesamum,0.198,0.13
11205,Assam,CACHAR,2013,Rabi       ,Black pepper,0.045,0.09
11206,Assam,CACHAR,2013,Rabi       ,Chillies,1.102,0.733
11207,Assam,CACHAR,2013,Rabi       ,Ginger,0.239,1.672
11208,Assam,CACHAR,2013,Rabi       ,Gram,0.064,0.038
11209,Assam,CACHAR,2013,Rabi       ,Linseed,0.026,0.013
11211,Assam,CACHAR,2013,Rabi       ,Peas & beans (Pulses),0.498,0.332
11212,Assam,CACHAR,2013,Rabi       ,Pineapple,1.219,22.875
11213,Assam,CACHAR,2013,Rabi       ,Sweet potato,0.163,1.608
11214,Assam,CACHAR,2013,Rabi       ,Urad,0.847,0.491
11215,Assam,CACHAR,2013,Rabi       ,Wheat,0.065,0.084
11216,Assam,CACHAR,2013,Summer     ,Rice,7.7,12.958
11217,Assam,CACHAR,2013,Whole Year ,Banana,3.075,54.692
11218,Assam,CACHAR,2013,Whole Year ,Onion,0.084,0.29
11219,Assam,CACHAR,2013,Whole Year ,Potato,2.046,8.094
11220,Assam,CACHAR,2013,Whole Year ,Sugarcane,0.126,4.263
11222,Assam,CACHAR,2013,Winter     ,Rice,82.347,153.041
11223,Assam,CACHAR,2014,Autumn     ,Rice,6.752,13.796
11224,Assam,CACHAR,2014,Kharif     ,Cotton,0.096,0.035
11225,Assam,CACHAR,2014,Kharif     ,Jute,0.049,0.533
11226,Assam,CACHAR,2014,Kharif     ,Maize,0.102,0.236
11227,Assam,CACHAR,2014,Kharif     ,Mesta,0.003,0.015
11228,Assam,CACHAR,2014,Kharif     ,Orange,0.09,0.598
11229,Assam,CACHAR,2014,Kharif     ,Papaya,0.307,6.031
11230,Assam,CACHAR,2014,Kharif     ,Sesamum,0.199,0.127
11232,Assam,CACHAR,2014,Rabi       ,Black pepper,0.047,0.094
11233,Assam,CACHAR,2014,Rabi       ,Chillies,1.125,0.752
11234,Assam,CACHAR,2014,Rabi       ,Ginger,0.247,1.76
11235,Assam,CACHAR,2014,Rabi       ,Gram,0.061,0.046
11236,Assam,CACHAR,2014,Rabi       ,Linseed,0.027,0.017
11238,Assam,CACHAR,2014,Rabi       ,Peas & beans (Pulses),0.422,0.353
11239,Assam,CACHAR,2014,Rabi       ,Pineapple,1.246,23.381
11240,Assam,CACHAR,2014,Rabi       ,Sweet potato,0.164,1.585
11241,Assam,CACHAR,2014,Rabi       ,Urad,0.917,0.595
11242,Assam,CACHAR,2014,Rabi       ,Wheat,0.065,0.079
11243,Assam,CACHAR,2014,Summer     ,Rice,8.235,16.088
11244,Assam,CACHAR,2014,Whole Year ,Banana,3.144,55.919
11245,Assam,CACHAR,2014,Whole Year ,Onion,0.094,0.325
11246,Assam,CACHAR,2014,Whole Year ,Potato,2.102,14.825
11247,Assam,CACHAR,2014,Whole Year ,Sugarcane,0.144,5.1
11249,Assam,CACHAR,2014,Winter     ,Rice,92.895,216.009
11273,Assam,CHIRANG,2006,Autumn     ,Rice,15.038,13.303
11274,Assam,CHIRANG,2006,Kharif     ,Castor seed,0.026,0.011
11275,Assam,CHIRANG,2006,Kharif     ,Cotton,0.003,0.001
11276,Assam,CHIRANG,2006,Kharif     ,Jute,1.209,11.714
11277,Assam,CHIRANG,2006,Kharif     ,Maize,0.442,0.269
11278,Assam,CHIRANG,2006,Kharif     ,Mesta,0.215,1.347
11279,Assam,CHIRANG,2006,Kharif     ,Sesamum,0.389,0.176
11280,Assam,CHIRANG,2006,Rabi       ,Gram,0.019,0.009
11281,Assam,CHIRANG,2006,Rabi       ,Linseed,0.244,0.102
11283,Assam,CHIRANG,2006,Rabi       ,Peas & beans (Pulses),0.348,0.258
11284,Assam,CHIRANG,2006,Rabi       ,Urad,0.958,0.492
11285,Assam,CHIRANG,2006,Rabi       ,Wheat,1.814,2.053
11286,Assam,CHIRANG,2006,Summer     ,Rice,3.757,7.578
11287,Assam,CHIRANG,2006,Whole Year ,Banana,0.525,6.347
11288,Assam,CHIRANG,2006,Whole Year ,Chillies,0.501,0.319
11289,Assam,CHIRANG,2006,Whole Year ,Onion,0.14,0.28
11290,Assam,CHIRANG,2006,Whole Year ,Potato,2.214,14.376
11291,Assam,CHIRANG,2006,Whole Year ,Sugarcane,0.074,2.933
11292,Assam,CHIRANG,2006,Whole Year ,Sweet potato,0.139,0.417
