,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
2,Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,102.0,321.0
3,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Banana,176.0,641.0
6,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Ginger,36.0,100.0
7,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sugarcane,1.0,2.0
8,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sweet potato,5.0,15.0
9,Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Tapioca,40.0,169.0
12,Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,83.0,300.0
15,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Ginger,46.0,100.0
16,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sugarcane,1.0,1.0
17,Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sweet potato,11.0,33.0
18,Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,189.2,510.84
20,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Banana,213.0,1278.0
21,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Black pepper,63.0,13.5
24,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Chillies,413.0,28.8
25,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Ginger,47.3,133.0
26,Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Sugarcane,5.0,40.0
27,Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,52.0,90.17
29,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Banana,266.0,1763.0
30,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Black pepper,75.5,15.86
33,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Chillies,60.0,102.0
34,Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Ginger,102.0,326.4
36,Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,52.94,72.57
38,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Banana,66.42,404.12
39,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Black pepper,85.0,15.86
42,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Chillies,60.0,145.2
43,Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Ginger,118.0,366.0
45,Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,2.09,12.06
47,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Banana,22.0,582.0
48,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Black pepper,41.0,0.1
51,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Chillies,17.0,
52,Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Turmeric,10.0,70.0
54,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Banana,198.0,976.0
55,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Black pepper,22.16,0.68
58,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Chillies,3.0,9.0
59,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Ginger,6.0,21.0
60,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sugarcane,0.2,0.5
61,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sweet potato,18.0,86.0
62,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Tapioca,52.03,450.0
63,Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Turmeric,2.5,1.03
64,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Rice,3.5,10.0
65,Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Sugarcane,13.4,41.75
67,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Black pepper,23.0,8.5
69,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Chillies,12.0,25.0
70,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Ginger,7.0,9.64
71,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Maize,3.84,18.22
72,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Moong(Green Gram),1.5,1.1
73,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Sweet potato,22.0,208.0
74,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Turmeric,2.0,0.5
75,Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Urad,1.5,1.16
76,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Banana,593.0,3425.0
78,Andaman and Nicobar Islands,NICOBARS,2010,Whole Year ,Tapioca,69.0,575.0
81,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Kharif     ,Rice,10779.0,31863.0
82,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Banana,1531.0,12073.0
85,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Ginger,352.0,1120.0
87,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sugarcane,141.0,3736.0
88,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Sweet potato,78.0,843.0
89,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year ,Tapioca,160.0,2108.0
92,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Kharif     ,Rice,9718.0,27033.0
95,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Ginger,344.0,1124.0
96,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Sugarcane,81.0,2379.0
97,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Sweet potato,100.0,5.0
98,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,Rice,6854.3,18995.62
100,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Banana,957.57,8582.0
101,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Black pepper,175.0,191.14
104,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Chillies,235.72,824.3
105,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Ginger,98.66,929.0
107,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sugarcane,71.3,1500.0
108,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sweet potato,30.0,240.0
109,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Tapioca,255.0,1420.0
110,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Turmeric,68.0,408.0
111,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Rice,6791.0,20118.0
112,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Sugarcane,73.33,889.2
115,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Black pepper,168.0,13.5
117,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Chillies,254.0,402.0
118,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Ginger,110.0,1011.84
119,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Groundnut,4.75,6.8
120,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Maize,86.7,96.4
121,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Moong(Green Gram),1168.6,556.55
122,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Sunflower,2.9,1.9
123,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Sweet potato,109.0,480.0
124,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Turmeric,68.0,376.5
125,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Urad,1059.5,458.79
126,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Banana,657.0,7968.0
128,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Tapioca,186.5,1355.0
129,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif     ,Rice,10695.8,31600.82
131,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Banana,1524.0,10882.0
132,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Black pepper,487.0,102.5
135,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Chillies,239.0,20.9
136,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Ginger,352.0,1145.0
138,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Sugarcane,455.0,13760.0
139,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif     ,Rice,10509.37,30760.7
141,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Banana,1530.0,11558.0
142,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Black pepper,497.0,104.37
145,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Chillies,340.0,578.0
146,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Ginger,406.0,1299.2
148,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Sugarcane,268.0,2879.52
149,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif     ,Rice,10681.98,29119.66
151,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Banana,1912.1,17374.4
152,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Black pepper,570.0,104.36
155,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Chillies,340.0,822.8
156,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Ginger,410.0,1462.0
158,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Sugarcane,145.26,1560.0
159,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,Rice,8683.38,25870.98
161,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Banana,1656.8,10251.13
162,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Black pepper,656.45,35.95
165,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Chillies,370.7,877.6
166,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Ginger,200.0,1800.0
168,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Sugarcane,128.02,2448.2
169,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Sweet potato,131.9,700.35
170,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Tapioca,254.5,1480.0
171,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Turmeric,81.7,572.0
172,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,Rice,921.87,2539.64
174,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Banana,483.0,4150.0
175,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Black pepper,413.1,20.18
178,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Chillies,124.6,34.7
179,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Ginger,100.9,900.0
181,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sugarcane,53.5,999.5
182,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sweet potato,30.4,220.0
183,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Tapioca,40.0,160.0
184,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Turmeric,10.0,60.0
185,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Rice,1595.5,3788.0
186,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Sugarcane,67.5,402.0
189,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Black pepper,409.0,98.0
191,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Chillies,128.0,148.0
192,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Ginger,94.0,828.52
193,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Groundnut,15.5,7.6
194,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Maize,73.0,253.0
195,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Moong(Green Gram),29.9,17.85
196,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sunflower,1.0,0.5
197,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sweet potato,32.0,235.0
198,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Turmeric,10.0,105.0
199,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Urad,34.0,15.05
200,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Banana,360.0,5517.0
202,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Tapioca,22.5,220.0
204,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Bajra,1400.0,500.0
205,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Castor seed,1000.0,100.0
206,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Cotton,7300.0,9400.0
207,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Chillies,3700.0,7100.0
208,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Groundnut,650800.0,228400.0
209,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Horse-gram,3300.0,1000.0
210,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Jowar,10100.0,10200.0
212,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Maize,2800.0,4900.0
213,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Moong(Green Gram),1300.0,500.0
215,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Ragi,6700.0,11800.0
216,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,35600.0,75400.0
217,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sugarcane,700.0,72900.0
218,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sunflower,35900.0,11100.0
220,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Chillies,100.0,100.0
221,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Gram,28000.0,14800.0
222,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Groundnut,20200.0,21700.0
223,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Horse-gram,600.0,200.0
224,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Jowar,18800.0,9400.0
226,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Maize,600.0,2400.0
227,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Ragi,600.0,1000.0
228,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Rice,18000.0,37300.0
229,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Sunflower,30100.0,11100.0
230,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Wheat,300.0,200.0
232,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Bajra,2600.0,1900.0
233,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Castor seed,3200.0,1000.0
234,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Cotton,14000.0,12900.0
235,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Chillies,4000.0,10000.0
236,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Groundnut,755200.0,867800.0
237,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Horse-gram,2300.0,900.0
238,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Jowar,3700.0,5800.0
240,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Maize,3300.0,6700.0
241,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Moong(Green Gram),2100.0,1300.0
243,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Ragi,7000.0,14900.0
244,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Rice,38300.0,96800.0
245,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Sunflower,21300.0,12200.0
246,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Chillies,200.0,200.0
247,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Gram,26200.0,25900.0
248,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Groundnut,25900.0,35800.0
249,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Horse-gram,700.0,500.0
250,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Jowar,14800.0,22100.0
251,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Maize,300.0,1600.0
252,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Ragi,700.0,1200.0
253,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Rice,26600.0,63900.0
254,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Sunflower,13500.0,3300.0
255,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Wheat,400.0,200.0
256,Andhra Pradesh,ANANTAPUR,1998,Whole Year ,Sugarcane,700.0,65900.0
258,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Bajra,1635.0,889.0
259,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Castor seed,1880.0,355.0
260,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Cotton,9453.0,10510.0
261,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Groundnut,694865.0,249457.0
262,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Horse-gram,1762.0,495.0
263,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Jowar,11131.0,14582.0
264,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Maize,3358.0,9540.0
266,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Moong(Green Gram),1546.0,1098.0
267,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Ragi,6215.0,11467.0
268,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Rice,37991.0,105082.0
269,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Sesamum,8.0,2.0
270,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Urad,4.0,2.0
271,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Bajra,99.0,54.0
272,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Gram,26835.0,9365.0
273,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Groundnut,21785.0,25358.0
274,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Horse-gram,1071.0,327.0
275,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Jowar,21487.0,30576.0
276,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Linseed,12.0,1.0
277,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Maize,455.0,2203.0
279,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Moong(Green Gram),1.0,1.0
280,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Ragi,734.0,1180.0
281,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Rice,20258.0,45669.0
282,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Safflower,881.0,145.0
283,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Sesamum,10.0,2.0
284,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Wheat,439.0,294.0
285,Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Chillies,5199.0,5759.0
286,Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Onion,1770.0,32364.0
287,Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Sugarcane,884.0,83126.0
289,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Bajra,2477.0,1449.0
290,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Castor seed,9315.0,2831.0
291,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Cotton,12025.0,16128.0
292,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Chillies,3755.0,10146.0
293,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Gram,21.0,14.0
294,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Groundnut,791559.0,884963.0
295,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Horse-gram,601.0,215.0
296,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Jowar,5071.0,14351.0
298,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Maize,3475.0,9049.0
299,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Moong(Green Gram),1744.0,774.0
300,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Onion,1103.0,15470.0
303,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Ragi,6613.0,16923.0
304,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Rice,39905.0,117680.0
306,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Sesamum,5.0,1.0
308,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Sunflower,30606.0,24590.0
309,Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Urad,135.0,8.0
311,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Bajra,317.0,185.0
312,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Chillies,71.0,81.0
313,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Gram,33858.0,22685.0
314,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Groundnut,23048.0,23832.0
315,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Horse-gram,377.0,80.0
316,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Jowar,15242.0,16980.0
318,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Linseed,8.0,2.0
319,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Maize,399.0,2148.0
320,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Onion,482.0,11514.0
321,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Ragi,909.0,1312.0
322,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Rice,22099.0,57236.0
323,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Safflower,703.0,129.0
325,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Urad,363.0,292.0
326,Andhra Pradesh,ANANTAPUR,2000,Rabi       ,Wheat,520.0,297.0
328,Andhra Pradesh,ANANTAPUR,2000,Whole Year ,Banana,769.0,11693.0
330,Andhra Pradesh,ANANTAPUR,2000,Whole Year ,Coriander,8953.0,2266.0
331,Andhra Pradesh,ANANTAPUR,2000,Whole Year ,Potato,4.0,34.0
332,Andhra Pradesh,ANANTAPUR,2000,Whole Year ,Sugarcane,284.0,25395.0
333,Andhra Pradesh,ANANTAPUR,2000,Whole Year ,Sweet potato,28.0,379.0
335,Andhra Pradesh,ANANTAPUR,2000,Whole Year ,Turmeric,39.0,272.0
337,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Bajra,1595.0,526.0
338,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Castor seed,3191.0,900.0
339,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Cotton,8552.0,9055.0
340,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Chillies,3765.0,7127.0
341,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Gram,16.0,17.0
342,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Groundnut,758700.0,333828.0
343,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Horse-gram,649.0,60.0
344,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Jowar,3900.0,6720.0
346,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Maize,2667.0,7129.0
347,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Moong(Green Gram),1511.0,730.0
348,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Onion,1165.0,19232.0
350,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Ragi,5124.0,12405.0
351,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Rice,32878.0,95609.0
353,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Sunflower,51610.0,33580.0
354,Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Urad,487.0,176.0
356,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Bajra,27.0,9.0
357,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Chillies,108.0,168.0
358,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Gram,47894.0,50145.0
359,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Groundnut,18773.0,29192.0
360,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Horse-gram,417.0,226.0
361,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Jowar,15170.0,17446.0
362,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Linseed,5.0,1.0
363,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Maize,447.0,2893.0
364,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Moong(Green Gram),40.0,12.0
365,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Onion,380.0,8465.0
367,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Ragi,544.0,725.0
368,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Rice,38119.0,108906.0
369,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Safflower,3768.0,528.0
370,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Sesamum,2.0,1.0
371,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Urad,127.0,86.0
372,Andhra Pradesh,ANANTAPUR,2001,Rabi       ,Wheat,307.0,213.0
374,Andhra Pradesh,ANANTAPUR,2001,Whole Year ,Banana,1582.0,462.0
376,Andhra Pradesh,ANANTAPUR,2001,Whole Year ,Coriander,4741.0,1119.0
377,Andhra Pradesh,ANANTAPUR,2001,Whole Year ,Sugarcane,490.0,42470.0
378,Andhra Pradesh,ANANTAPUR,2001,Whole Year ,Sweet potato,31.0,411.0
380,Andhra Pradesh,ANANTAPUR,2001,Whole Year ,Turmeric,8.0,40.0
382,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Bajra,1925.0,581.0
383,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Castor seed,2050.0,416.0
384,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Cotton,7638.0,7144.0
385,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Chillies,2737.0,6128.0
386,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Groundnut,732262.0,259953.0
387,Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Horse-gram,947.0,140.0
