Crop_Year,State_Name,District_Name,Season,Crop,Area,Production
2006,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Sugarcane,0.0713,1.5
2006,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Sweet potato,0.03,0.24
2006,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Tapioca,0.255,1.42
2006,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Turmeric,0.068,0.408
2010,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Autumn,Rice,6.791,20.118
2010,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Autumn,Sugarcane,0.07332999999999999,0.8892
2010,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Black pepper,0.168,0.0135
2010,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Chillies,0.254,0.402
2010,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Ginger,0.11,1.01184
2010,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Groundnut,0.00475,0.0068
2010,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Maize,0.0867,0.0964
2010,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Moong(Green Gram),1.1685999999999999,0.55655
2010,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Sunflower,0.0029,0.0019
2010,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Sweet potato,0.109,0.48
2010,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Turmeric,0.068,0.3765
2010,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Rabi,Urad,1.0595,0.45879000000000003
2010,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Banana,0.657,7.968
2010,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Whole Year,Tapioca,0.1865,1.355
2002,Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif,Rice,10.695799999999998,31.60082
2002,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Banana,1.524,10.882
2002,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Black pepper,0.487,0.1025
2002,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Chillies,0.239,0.0209
2002,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Ginger,0.352,1.145
2002,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Sugarcane,0.455,13.76
2003,Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif,Rice,10.50937,30.7607
2003,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Banana,1.53,11.558
2003,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Black pepper,0.497,0.10437
2003,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Chillies,0.34,0.578
2003,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Ginger,0.406,1.2992000000000001
2003,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Sugarcane,0.268,2.87952
2004,Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif,Rice,10.68198,29.11966
2004,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Banana,1.9121,17.3744
2004,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Black pepper,0.57,0.10436
2004,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Chillies,0.34,0.8228
2004,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Ginger,0.41,1.462
2004,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Sugarcane,0.14526,1.56
2005,Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif,Rice,8.68338,25.87098
2005,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Banana,1.6568,10.25113
2005,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Black pepper,0.6564500000000001,0.03595
2005,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Chillies,0.3707,0.8776
2005,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Ginger,0.2,1.8
2005,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Sugarcane,0.12802000000000002,2.4482
2005,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Sweet potato,0.13190000000000002,0.70035
2005,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Tapioca,0.2545,1.48
2005,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Turmeric,0.08170000000000001,0.572
2006,Andaman and Nicobar Islands,SOUTH ANDAMANS,Kharif,Rice,0.92187,2.53964
2006,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Banana,0.483,4.15
2006,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Black pepper,0.4131,0.02018
2006,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Chillies,0.12459999999999999,0.0347
2006,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Ginger,0.1009,0.9
2006,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Sugarcane,0.0535,0.9995
2006,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Sweet potato,0.0304,0.22
2006,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Tapioca,0.04,0.16
2006,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Turmeric,0.01,0.06
2010,Andaman and Nicobar Islands,SOUTH ANDAMANS,Autumn,Rice,1.5955,3.788
2010,Andaman and Nicobar Islands,SOUTH ANDAMANS,Autumn,Sugarcane,0.0675,0.402
2010,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Black pepper,0.409,0.098
2010,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Chillies,0.128,0.148
2010,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Ginger,0.094,0.82852
2010,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Groundnut,0.0155,0.0076
2010,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Maize,0.073,0.253
2010,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Moong(Green Gram),0.0299,0.01785
2010,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Sunflower,0.001,0.0005
2010,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Sweet potato,0.032,0.235
2010,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Turmeric,0.01,0.105
2010,Andaman and Nicobar Islands,SOUTH ANDAMANS,Rabi,Urad,0.034,0.015050000000000001
2010,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Banana,0.36,5.517
2010,Andaman and Nicobar Islands,SOUTH ANDAMANS,Whole Year,Tapioca,0.0225,0.22
1997,Andhra Pradesh,ANANTAPUR,Kharif,Bajra,1.4,0.5
1997,Andhra Pradesh,ANANTAPUR,Kharif,Castor seed,1.0,0.1
1997,Andhra Pradesh,ANANTAPUR,Kharif,Cotton,7.3,9.4
1997,Andhra Pradesh,ANANTAPUR,Kharif,Chillies,3.7,7.1
1997,Andhra Pradesh,ANANTAPUR,Kharif,Groundnut,650.8,228.4
1997,Andhra Pradesh,ANANTAPUR,Kharif,Horse-gram,3.3,1.0
1997,Andhra Pradesh,ANANTAPUR,Kharif,Jowar,10.1,10.2
1997,Andhra Pradesh,ANANTAPUR,Kharif,Maize,2.8,4.9
1997,Andhra Pradesh,ANANTAPUR,Kharif,Moong(Green Gram),1.3,0.5
1997,Andhra Pradesh,ANANTAPUR,Kharif,Ragi,6.7,11.8
1997,Andhra Pradesh,ANANTAPUR,Kharif,Rice,35.6,75.4
